,#,link,Игрок,Команда,ОБ,ПШ,ОБ%,И,GSAx/И,GSAx
0,1,23467,Дорожко Максим,Амур,948,70,93.1,29,0.6,18.8
1,2,23431,Долганов Филипп,Нефтехимик,876,67,92.9,27,0.6,15.0
2,3,19222,Костин Денис,Торпедо,536,39,93.2,19,0.7,12.9
3,4,27076,Галкин Владимир,Автомобилист,510,36,93.4,18,0.7,12.7
4,5,35352,Вязовой Семён,Салават Юлаев,496,39,92.7,18,0.5,8.2
5,6,42970,Фукале Зак,Динамо Мн,527,40,92.9,22,0.4,7.7
6,7,17854,Серебряков Никита,Авангард,740,60,92.5,25,0.3,7.6
7,8,34163,Плешков Артемий,СКА,270,18,93.7,9,0.8,7.3
8,9,19029,Бочаров Иван,Лада,599,50,92.3,19,0.3,6.2
9,10,16184,Демченко Василий,Динамо Мн,261,18,93.5,9,0.7,6.0
10,11,21010,Самсонов Илья,ХК Сочи,194,15,92.8,7,0.8,5.9
11,12,35221,Гамзин Дмитрий,ЦСКА,372,30,92.5,17,0.3,5.3
12,13,18933,Рибар Патрик,Драконы,641,57,91.8,22,0.2,5.0
13,14,20532,Подъяпольский Владислав,Динамо М,425,35,92.4,17,0.3,4.8
14,15,25400,Исаев Даниил А.,Локомотив,634,57,91.8,28,0.1,3.9
15,16,40214,Кокаулин Семён,Сибирь,69,5,93.2,4,0.9,3.8
16,17,38463,Шерстнев Савелий,Трактор,76,3,96.2,4,0.9,3.7
17,18,40885,Заврагин Егор,СКА,328,27,92.4,11,0.3,3.3
18,19,17768,Кареев Андрей,Драконы,230,20,92.0,7,0.3,2.2
19,20,39444,Иванов Сергей Вл.,СКА,285,26,91.6,10,0.2,1.9
20,21,45713,Шил Адам,Барыс,378,34,91.7,16,0.1,1.6
21,22,24799,Мыльников Сергей И.,Трактор,268,25,91.5,10,0.2,1.5
22,23,28416,Скотников Всеволод,Северсталь,119,11,91.5,6,0.3,1.5
23,24,39096,Арефьев Максим,Ак Барс,22,1,95.7,1,1.2,1.2
24,25,20693,Трушков Александр А.,Лада,410,42,90.7,13,0.1,1.1
25,26,44435,Селиванов Владимир,Динамо М,11,0,100.0,1,1.0,1.0
26,27,22611,Коновалов Илья Г.,Салават Юлаев,29,2,93.5,1,0.8,0.8
27,28,39515,Смолин Александр С.,Металлург Мг,366,35,91.3,17,0.0,0.7
28,29,39461,Шаймарданов Дамир,Амур,95,8,92.2,4,0.2,0.7
29,30,23462,Мельничук Алексей,Локомотив,136,13,91.3,8,0.1,0.5
30,31,18488,Аликин Евгений,Автомобилист,397,38,91.3,15,0.0,0.2
31,32,22139,Самойлов Александр,Северсталь,497,50,90.9,24,0.0,0.0
32,33,19034,Билялов Тимур,Ак Барс,577,54,91.4,24,0.0,-0.2
33,34,31535,Щетилин Алексей,ХК Сочи,32,3,91.4,2,-0.2,-0.3
34,35,22255,Хуска Адам,Адмирал,626,62,91.0,26,0.0,-0.3
35,36,17592,Хомченко Павел,ХК Сочи,461,44,91.3,18,-0.1,-0.9
36,37,31778,Мишуров Андрей,Авангард,120,12,90.9,6,-0.2,-1.1
37,38,43214,Рудович Павел,ХК Сочи,13,5,72.2,1,-1.2,-1.2
38,39,27876,Шостак Константин,Северсталь,109,13,89.3,5,-0.3,-1.3
39,40,32630,Моторыгин Максим,Динамо М,354,35,91.0,14,-0.1,-1.3
40,41,21376,Георгиев Александр,Спартак,27,4,87.1,1,-1.4,-1.4
41,42,41683,Волохин Евгений,Спартак,54,8,87.1,3,-0.8,-2.4
42,43,33830,Цыба Арсений,Адмирал,32,6,84.2,3,-0.9,-2.6
43,44,21516,Красоткин Антон,Сибирь,572,58,90.8,22,-0.1,-2.6
44,45,18807,Тихомиров Андрей,Драконы,136,17,88.9,7,-0.4,-2.9
45,46,25147,Шугаев Дмитрий,Адмирал,59,9,86.8,3,-1.0,-2.9
46,47,25222,Николаев Дмитрий Н.,Спартак,261,29,90.0,13,-0.2,-3.0
47,48,24300,Кульбаков Иван,Торпедо,385,39,90.8,14,-0.3,-3.5
48,49,35887,Набоков Илья Д.,Металлург Мг,418,46,90.1,19,-0.2,-4.5
49,50,22513,Бердин Михаил,Ак Барс,223,26,89.6,13,-0.4,-5.2
50,51,44835,Мартин Спенсер,ЦСКА,334,35,90.5,14,-0.4,-5.4
51,52,27072,Озолин Ярослав,Нефтехимик,204,27,88.3,8,-0.7,-5.6
52,53,24925,Шутов Андрей А.,Барыс,558,61,90.1,24,-0.2,-5.7
53,54,45390,Доминг Луи,Сибирь,315,38,89.2,11,-0.6,-6.8
54,55,19211,Третьяк Максим,ХК Сочи,84,20,80.8,5,-1.4,-7.1
55,56,45100,Дригер Крис,Трактор,532,61,89.7,23,-0.3,-7.1
56,57,19184,Загидулин Артём,Спартак,522,61,89.5,22,-0.4,-9.3
57,58,19676,Самонов Александр,ЦСКА,330,45,88.0,16,-0.7,-11.7
