,team_name_long,team,net,off,def,gf,ga,gd,xg,xga,xgd,record,play-offs
0,Динамо Мн (Минск),Динамо Мн,38.79,22.61,16.18,110,61,49,99.64,71.65,27.99,(21-3-7),100.0
1,Локомотив (Ярославль),Локомотив,28.67,12.57,16.1,97,71,26,90.66,74.33,16.33,(20-3-10),100.0
2,Металлург (Магнитогорск),Металлург Мг,26.3,29.47,-3.17,122,84,38,97.58,79.15,18.43,(24-2-6),100.0
3,Авангард (Омск),Авангард,25.0,19.93,5.07,100,77,23,86.73,78.46,8.27,(19-3-8),100.0
4,Трактор (Челябинск),Трактор,21.52,24.97,-3.45,102,96,6,98.41,86.75,11.66,(15-5-12),100.0
5,Ак Барс (Казань),Ак Барс,20.32,15.38,4.94,95,84,11,97.01,76.7,20.31,(21-2-10),100.0
6,Автомобилист (Екатеринбург),Автомобилист,9.28,1.88,7.4,94,81,13,82.66,86.89,-4.23,(17-3-12),99.98
7,Северсталь (Череповец),Северсталь,8.75,7.47,1.28,97,75,22,85.15,74.18,10.97,(22-0-10),94.33
8,СКА (Санкт-Петербург),СКА,4.1,3.46,0.64,83,75,8,80.64,84.03,-3.39,(14-4-11),94.97
9,Торпедо (Нижний Новгород),Торпедо,1.18,-3.7,4.88,87,81,6,93.98,90.99,2.99,(19-3-10),97.61
10,Спартак (Москва),Спартак,1.12,8.71,-7.59,94,104,-10,96.55,85.99,10.56,(17-3-12),92.74
11,Адмирал (Владивосток),Адмирал,0.61,-4.08,4.69,67,79,-12,83.84,71.25,12.59,(11-6-12),98.08
12,Динамо М (Москва),Динамо М,-2.6,-3.76,1.16,82,75,7,80.17,74.52,5.65,(18-2-10),99.7
13,ЦСКА (Москва),ЦСКА,-6.15,-14.83,8.68,80,79,1,73.78,70.96,2.82,(14-3-14),84.03
14,Нефтехимик (Нижнекамск),Нефтехимик,-10.95,-6.41,-4.54,93,101,-8,92.31,103.4,-11.09,(17-1-15),91.0
15,Шанхайские Драконы (Шанхай),Драконы,-11.62,-2.67,-8.95,84,98,-14,74.64,98.3,-23.66,(13-7-11),36.62
16,Барыс (Астана),Барыс,-13.11,-6.64,-6.47,80,96,-16,85.28,90.9,-5.62,(11-5-16),45.69
17,Салават Юлаев (Уфа),Салават Юлаев,-14.47,-14.48,0.01,76,79,-3,75.86,78.06,-2.2,(12-3-15),52.42
18,Амур (Хабаровск),Амур,-14.66,-13.33,-1.33,69,82,-13,79.77,97.44,-17.67,(12-4-15),12.510000000000003
19,Лада (Тольятти),Лада,-29.97,-25.49,-4.48,67,110,-43,68.32,104.84,-36.52,(10-3-19),0.0100000000000051
20,ХК Сочи (Сочи),ХК Сочи,-32.84,-21.28,-11.56,62,103,-41,72.51,91.62,-19.11,(8-5-17),0.0
21,Сибирь (Новосибирская область),Сибирь,-46.17,-32.6,-13.57,54,104,-50,69.3,94.38,-25.08,(9-3-19),0.3299999999999983
